method,seed,query,ro,parent_r2,child_r2
BIF-UCB (hot),5343420,12,0.9620248422138591,0.4964156115924829,0.6102799626338876
BIF-UCB (hot),5343420,13,0.9620248422138591,0.514970843465921,0.6449787360786772
BIF-UCB (hot),5343420,14,0.8977699768227599,0.5132093094751993,0.6279722170803184
BIF-UCB (hot),5343420,15,0.9195648557183387,0.5143170745360736,0.6390521429247606
BIF-UCB (hot),5343420,16,0.9195648557183387,0.5416455944734065,0.647947102578522
BIF-UCB (hot),5343420,17,0.9620248422138591,0.5446562242399212,0.6471972213124884
BIF-UCB (hot),5343420,18,0.9620248422138591,0.5502673633823673,0.6608933356266705
BIF-UCB (hot),5343420,19,0.9620248422138591,0.5500113753242082,0.660303695262556
BIF-UCB (hot),2417321,0,0.54825273880037,0.005832644688222551,0.3749819256235273
BIF-UCB (hot),2417321,1,0.6458646219328873,0.005624730148399927,0.4861871698546314
BIF-UCB (hot),2417321,2,0.9328462221727066,0.01711399989595958,0.5620193103739255
BIF-UCB (hot),2417321,3,0.9070338564725935,0.04411583602271501,0.5021626758909065
BIF-UCB (hot),2417321,4,0.8900089484884361,0.04486025896684446,0.5148896429931522
BIF-UCB (hot),2417321,5,0.8900089484884361,0.08119033468573078,0.5534712374671154
BIF-UCB (hot),2417321,6,0.9070338564725935,0.10227996417692958,0.5333068560355445
BIF-UCB (hot),2417321,7,0.9070338564725935,0.15176395054308198,0.5300646862471442
BIF-UCB (hot),2417321,8,0.9070338564725935,0.16251481308495572,0.326131140879293
BIF-UCB (hot),2417321,9,0.9070338564725935,0.16215814047968136,0.3145217627590783
BIF-UCB (hot),2417321,10,0.9070338564725935,0.17572028651285918,0.3254908812167255
BIF-UCB (hot),2417321,11,0.9070338564725935,0.2058995622386369,0.34926318897549335
BIF-UCB (hot),2417321,12,0.9180920137656435,0.19870265277063168,0.33134436611713
BIF-UCB (hot),2417321,13,0.9180920137656435,0.1743168489901825,0.3397205026578552
BIF-UCB (hot),2417321,14,0.9179925461748767,0.21174759880392297,0.32534150518502647
BIF-UCB (hot),2417321,15,0.9195648557183387,0.2493095787176488,0.37458285827148374
BIF-UCB (hot),2417321,16,0.9195648557183387,0.2554764612321464,0.41658371736736405
BIF-UCB (hot),2417321,17,0.9195648557183387,0.26151060100147755,0.4278113933672215
BIF-UCB (hot),2417321,18,0.9195648557183387,0.2949124797636061,0.40190265456689295
BIF-UCB (hot),2417321,19,0.9179925461748767,0.2972083784663263,0.38469003361213117
BIF-UCB (hot),9891788,0,0.9382793281076746,0.005892621858129234,0.07052197639512572
BIF-UCB (hot),9891788,1,0.9680945420611176,0.01762129670782509,0.1672823675392571
BIF-UCB (hot),9891788,2,0.966906848967377,0.03690335805909603,0.042975195715281356
BIF-UCB (hot),9891788,3,0.9665679521946323,0.05401920605074073,0.04998461378868128
BIF-UCB (hot),9891788,4,0.9665679521946323,0.06851411278228915,0.24501548773408544
BIF-UCB (hot),9891788,5,0.9665679521946323,0.17789932764147592,0.3107668288999457
BIF-UCB (hot),9891788,6,0.8966635979186337,0.2118889734514494,0.1342956207888329
BIF-UCB (hot),9891788,7,0.8891758624816023,0.22783099621656827,0.24656052138511936
BIF-UCB (hot),9891788,8,0.9588240321261545,0.17283124654817916,0.2140142389295332
BIF-UCB (hot),9891788,9,0.9723587939655138,0.21500946661012182,0.22316406388160434
BIF-UCB (hot),9891788,10,0.9672171210151653,0.2340056656752309,0.20828975142035017
BIF-UCB (hot),9891788,11,0.9672171210151653,0.29146589705941994,0.21405655838182827
BIF-UCB (hot),9891788,12,0.9672171210151653,0.30790029838849947,0.26097275995250463
BIF-UCB (hot),9891788,13,0.9672171210151653,0.3408685844112568,0.2796523544882253
BIF-UCB (hot),9891788,14,0.8949429590445956,0.35514205428508155,0.2673834538323554
BIF-UCB (hot),9891788,15,0.896907560458215,0.3582364395070564,0.2717692318307073
BIF-UCB (hot),9891788,16,0.896907560458215,0.35167703204373296,0.31082042538213245
