method,seed,query,ro,parent_r2,child_r2
BIF (hot),758529,17,0.9619812128074955,0.5019783640947252,0.4091392639539718
BIF (hot),758529,18,0.9619812128074955,0.5048759643708813,0.3811437721468589
BIF (hot),758529,19,0.9619812128074955,0.5008182376534621,0.3763426043527342
BIF (hot),3523986,0,0.9651879542044874,0.0,0.0
BIF (hot),3523986,1,0.54825273880037,0.053162436631512856,0.332557217629545
BIF (hot),3523986,2,0.8807468262635766,0.32175172832514704,0.4538498128983316
BIF (hot),3523986,3,0.8849716359597481,0.34086941269697735,0.3059341747053933
BIF (hot),3523986,4,0.8849716359597481,0.4153987904432,0.5630442259703361
BIF (hot),3523986,5,0.8849716359597481,0.45945078436888587,0.5566688061026939
BIF (hot),3523986,6,0.8931259946426231,0.2243083621569579,0.6120287679922438
BIF (hot),3523986,7,0.9767183262625381,0.28175018279409897,0.6300031062043632
BIF (hot),3523986,8,0.8989950218541121,0.2870035088334261,0.6395370282354154
BIF (hot),3523986,9,0.8989950218541121,0.36702020953018877,0.6290055759099886
BIF (hot),3523986,10,0.8910748400490311,0.3846044862962037,0.6344249292104595
BIF (hot),3523986,11,0.980467432971412,0.38741746359631596,0.6236527966291033
BIF (hot),3523986,12,0.980467432971412,0.42048102581741065,0.6616818887219532
BIF (hot),3523986,13,0.980467432971412,0.4221493479587964,0.6762817122695255
BIF (hot),3523986,14,0.980467432971412,0.4093765771015081,0.6810611609684858
BIF (hot),3523986,15,0.8910748400490311,0.40960196132752935,0.6480651695313769
BIF (hot),3523986,16,0.980467432971412,0.3775811734551925,0.635230707043146
BIF (hot),3523986,17,0.8910748400490311,0.36172755705390414,0.6340392099324428
BIF (hot),3523986,18,0.8910748400490311,0.3644785754431004,0.6129571473411779
BIF (hot),3523986,19,0.980467432971412,0.3593666128634078,0.6133563845092107
BIF (hot),3224638,0,0.9631863603265466,0.0,0.0
BIF (hot),3224638,1,0.9297860793089677,0.14983450010253946,0.45782407713403434
BIF (hot),3224638,2,0.0,0.43058843044427336,0.5278480209201684
BIF (hot),3224638,3,0.8899185609267019,0.4701668843079554,0.36163873382618233
BIF (hot),3224638,4,0.90166741286221,0.4712952026717922,0.3374853836665017
BIF (hot),3224638,5,0.8989950218541121,0.3063352201981541,0.31349681475333846
BIF (hot),3224638,6,0.9767183262625381,0.3541797456884143,0.3410328582201056
BIF (hot),3224638,7,0.8989950218541121,0.38972489838768337,0.4602256950143395
BIF (hot),3224638,8,0.8989950218541121,0.41025781124085886,0.49130134998406666
BIF (hot),3224638,9,0.9767183262625381,0.39256273873168807,0.48582419911221064
BIF (hot),3224638,10,0.9767183262625381,0.38833605762279066,0.5599213168389675
BIF (hot),3224638,11,0.9767183262625381,0.4018147574656686,0.5671669375876642
BIF (hot),3224638,12,0.9767183262625381,0.44316247475870363,0.5924558861270803
BIF (hot),3224638,13,0.9767183262625381,0.43867000767192965,0.5865641424638894
BIF (hot),3224638,14,0.9767183262625381,0.41874718592576915,0.5663285133724077
BIF (hot),3224638,15,0.973682607611791,0.466611836767549,0.5726243347733492
BIF (hot),3224638,16,0.973682607611791,0.4461392316521872,0.531188826640901
BIF (hot),3224638,17,0.9645750855293468,0.4486168601930131,0.5233996506233055
BIF (hot),3224638,18,0.9359810689116688,0.44541837997124284,0.5283205798881642
BIF (hot),3224638,19,0.9359810689116688,0.4746200976785902,0.5191034105484122
BIF (hot),9729091,0,0.33130251338931493,0.0,0.0
BIF (hot),9729091,1,0.9672534211605577,0.16693563552315188,0.5119025032720587
BIF (hot),9729091,2,0.9552609528449328,0.06852056972477702,0.46667686096712413
BIF (hot),9729091,3,0.8770190083617748,0.011948025483095181,0.2980781252372971
BIF (hot),9729091,4,0.8770190083617748,0.05084162592106959,0.24295807467328615
BIF (hot),9729091,5,0.956093000373373,0.16127871445184025,0.22381387802832253
BIF (hot),9729091,6,0.8893015050534222,0.021746619474388884,0.27775808918451284
BIF (hot),9729091,7,0.977226841172931,0.02611113160293677,0.42110026541944734
BIF (hot),9729091,8,0.9213238783514693,0.35775149566367326,0.45166114669134116
BIF (hot),9729091,9,0.8910748400490311,0.3982902570182109,0.6425328767599889
BIF (hot),9729091,10,0.9619812128074955,0.47050932203938695,0.6450286218389523
BIF (hot),9729091,11,0.8910748400490311,0.45827930657716265,0.6429014734340366
BIF (hot),9729091,12,0.8910748400490311,0.45763834493087974,0.6639652652721983
BIF (hot),9729091,13,0.8910748400490311,0.4758888575349745,0.6865045642225278
BIF (hot),9729091,14,0.9207298553964104,0.4471847508103254,0.6901707199308087
BIF (hot),9729091,15,0.9207298553964104,0.45370904704716414,0.6874893558690878
BIF (hot),9729091,16,0.9343166276953241,0.4012945391797332,0.6891464864112972
BIF (hot),9729091,17,0.9343166276953241,0.40463062632290175,0.7032450208025067
BIF (hot),9729091,18,0.8910748400490311,0.40337681926766367,0.7117607903894099
BIF (hot),9729091,19,0.8910748400490311,0.3927105675704842,0.7080728515404165
BIF (hot),5830471,0,0.5365199566523142,0.0,0.0
BIF (hot),5830471,1,0.8817488380891294,0.4097926673660025,0.33193084710708315
BIF (hot),5830471,2,0.8849716359597481,0.2389047197162075,0.3278627922813062
BIF (hot),5830471,3,0.9529270924793768,0.2926799108430277,0.2263752522113689
BIF (hot),5830471,4,0.9529270924793768,0.2694154189794203,0.2509151250358032
BIF (hot),5830471,5,0.9529270924793768,0.10783272149236768,0.16489195129687523
BIF (hot),5830471,6,0.9271782470410156,0.4471111072770234,0.14023023904323467
BIF (hot),5830471,7,0.8960678308524263,0.4527073895953876,0.6641989055549042
BIF (hot),5830471,8,0.9232668447985519,0.4553678041211225,0.6454572553821325
BIF (hot),5830471,9,0.9027901943994274,0.4563009155795032,0.6513482402441704
BIF (hot),5830471,10,0.9027901943994274,0.47171499961031393,0.6519396016919932
BIF (hot),5830471,11,0.9228853637547502,0.4739237402060982,0.6588157701874535
BIF (hot),5830471,12,0.9320679225580567,0.5028887932334013,0.6429789629449536
BIF (hot),5830471,13,0.9277939049626113,0.512455144622339,0.681705346746321
BIF (hot),5830471,14,0.9277939049626113,0.5142468965321282,0.7162644759982149
BIF (hot),5830471,15,0.9277939049626113,0.48963309617138706,0.715550416113878
BIF (hot),5830471,16,0.9277939049626113,0.4885411866909406,0.6759633897190449
BIF (hot),5830471,17,0.9277939049626113,0.49484792979609943,0.6792092107113497
BIF (hot),5830471,18,0.9277939049626113,0.4962155912575419,0.709002585830423
BIF (hot),5830471,19,0.9277939049626113,0.4867427902024979,0.713854557878765
BIF (hot),5343420,0,0.3621808429707235,0.0,0.0
BIF (hot),5343420,1,0.8692995191632016,0.31845382657103305,0.23746229936276153
BIF (hot),5343420,2,0.8849716359597481,0.16862215287692214,0.25977699602707716
BIF (hot),5343420,3,0.926554547568781,0.16597758696775153,0.5064807937652596
BIF (hot),5343420,4,0.926554547568781,0.20223612241011432,0.25121142347113246
BIF (hot),5343420,5,0.9361014791500433,0.3055434120570392,0.23560272400812343
BIF (hot),5343420,6,0.9361014791500433,0.30571768028971613,0.2564371644918038
BIF (hot),5343420,7,0.926554547568781,0.27138775025979633,0.2875126654977334
BIF (hot),5343420,8,0.926554547568781,0.3304425418683806,0.5402796807293937
BIF (hot),5343420,9,0.8950288199056391,0.3658985852019498,0.34052322496042847
BIF (hot),5343420,10,0.8950288199056391,0.3737419878315467,0.39614835519702896
